SurveyYear,Area,VALUE
2000,National,169191
2000,Dublin,221724
2000,Cork,166557
2000,Galway,163824
2000,Limerick,145834
2000,Waterford,145713
2000,Other areas,154050
2001,National,182863
2001,Dublin,243095
2001,Cork,174550
2001,Galway,171161
2001,Limerick,152205
2001,Waterford,155488
2001,Other areas,166834
2002,National,198087
2002,Dublin,256109
2002,Cork,184369
2002,Galway,187607
2002,Limerick,168574
2002,Waterford,167272
2002,Other areas,179936
2003,National,224567
2003,Dublin,291646
2003,Cork,211980
2003,Galway,223388
2003,Limerick,197672
2003,Waterford,195173
2003,Other areas,203125
2004,National,249191
2004,Dublin,322628
2004,Cork,237858
2004,Galway,242218
2004,Limerick,210868
2004,Waterford,220286
2004,Other areas,228057
2005,National,276221
2005,Dublin,350891
2005,Cork,265644
2005,Galway,274905
2005,Limerick,226393
2005,Waterford,246914
2005,Other areas,254006
2006,National,305637
2006,Dublin,405957
2006,Cork,305015
2006,Galway,286176
2006,Limerick,275411
2006,Waterford,271521
2006,Other areas,276570
2007,National,322634
2007,Dublin,416225
2007,Cork,325453
2007,Galway,300750
2007,Limerick,288202
2007,Waterford,292057
2007,Other areas,296605
2008,National,305269
2008,Dublin,370495
2008,Cork,314276
2008,Galway,292777
2008,Limerick,276719
2008,Waterford,288478
2008,Other areas,282677
2009,National,242033
2009,Dublin,260170
2009,Cork,252011
2009,Galway,236113
2009,Limerick,260684
2009,Waterford,227444
2009,Other areas,231739
2010,National,228268
2010,Dublin,251629
2010,Cork,244333
2010,Galway,219459
2010,Limerick,224778
2010,Waterford,224021
2010,Other areas,218097
2011,National,230303
2011,Dublin,290668
2011,Cork,241502
2011,Galway,229558
2011,Limerick,216307
2011,Waterford,205598
2011,Other areas,216400
2012,National,220415
2012,Dublin,265633
2012,Cork,235473
2012,Galway,219233
2012,Limerick,212902
2012,Waterford,179716
2012,Other areas,207957
2013,National,228216
2013,Dublin,300466
2013,Cork,240063
2013,Galway,218308
2013,Limerick,206456
2013,Waterford,154051
2013,Other areas,207573
2014,National,246378
2014,Dublin,333720
2014,Cork,242099
2014,Galway,218016
2014,Limerick,208442
2014,Waterford,177122
2014,Other areas,214404
2015,National,281432
2015,Dublin,377741
2015,Cork,255010
2015,Galway,241058
2015,Limerick,232791
2015,Waterford,213506
2015,Other areas,251437
2016,National,313483
2016,Dublin,397676
2016,Cork,293343
2016,Galway,262215
2016,Limerick,239024
2016,Waterford,239409
2000,National,190550
2000,Dublin,247039
2000,Cork,169064
2000,Galway,166145
2000,Limerick,142188
2000,Waterford,141662
2000,Other areas,158442
2001,National,206117
2001,Dublin,267939
2001,Cork,179687
2001,Galway,189713
2001,Limerick,157176
2001,Waterford,155242
2001,Other areas,171203
2002,National,227799
2002,Dublin,297424
2002,Cork,200155
2002,Galway,206571
2002,Limerick,172273
2002,Waterford,170342
2002,Other areas,192301
2003,National,264898
2003,Dublin,355451
2003,Cork,240444
2003,Galway,249404
2003,Limerick,201477
2003,Waterford,201871
2003,Other areas,218061
2004,National,294667
2004,Dublin,389791
2004,Cork,273605
2004,Galway,278813
2004,Limerick,218869
2004,Waterford,220029
2004,Other areas,235829
2005,National,330399
2005,Dublin,438790
2005,Cork,307007
2005,Galway,317811
2005,Limerick,232271
2005,Waterford,252765
2005,Other areas,263653
2006,National,371447
2006,Dublin,512461
2006,Cork,353104
2006,Galway,336948
2006,Limerick,257958
2006,Waterford,282998
2006,Other areas,294021
2007,National,377850
2007,Dublin,495576
2007,Cork,368523
2007,Galway,344958
2007,Limerick,273640
2007,Waterford,287483
2007,Other areas,313487
2008,National,348804
2008,Dublin,444207
2008,Cork,340467
2008,Galway,333778
2008,Limerick,259997
2008,Waterford,286310
2008,Other areas,298235
2009,National,275250
2009,Dublin,345444
2009,Cork,245224
2009,Galway,259285
2009,Limerick,198208
2009,Waterford,217874
2009,Other areas,222641
2010,National,274125
2010,Dublin,344891
2010,Cork,251756
2010,Galway,236695
2010,Limerick,215023
2010,Waterford,197234
2010,Other areas,212769
2011,National,260387
2011,Dublin,330894
2011,Cork,228763
2011,Galway,216748
2011,Limerick,205530
2011,Waterford,190315
2011,Other areas,198186
2012,National,249132
2012,Dublin,320947
2012,Cork,219544
2012,Galway,205611
2012,Limerick,190321
2012,Waterford,169142
2012,Other areas,183699
2013,National,255912
2013,Dublin,350239
2013,Cork,210723
2013,Galway,199224
2013,Limerick,175978
2013,Waterford,160263
2013,Other areas,175592
2014,National,261634
2014,Dublin,347700
2014,Cork,209926
2014,Galway,198869
2014,Limerick,170383
2014,Waterford,168446
2014,Other areas,184000
2015,National,264565
2015,Dublin,335013
2015,Cork,221723
2015,Galway,201805
2015,Limerick,173914
2015,Waterford,167364
2015,Other areas,199241
2016,National,276272
2016,Dublin,351354
2016,Cork,240683
2016,Galway,214645
2016,Limerick,192721
2016,Waterford,179609
2016,Other areas,201272
