Quarter,County,VALUE
2000Q1,All Counties,9494
2000Q1,Carlow,127
2000Q1,Dublin,2673
2000Q1,Kildare,458
2000Q1,Kilkenny,217
2000Q1,Laois,65
2000Q1,Longford,2
2000Q1,Louth,214
2000Q1,Meath,520
2000Q1,Offaly,122
2000Q1,Westmeath,316
2000Q1,Wexford,405
2000Q1,Wicklow,183
2000Q1,Clare,243
2000Q1,Cork,1126
2000Q1,Kerry,192
2000Q1,Limerick,437
2000Q1,Tipperary,343
2000Q1,Waterford,362
2000Q1,Galway,693
2000Q1,Leitrim,64
2000Q1,Mayo,243
2000Q1,Roscommon,50
2000Q1,Sligo,84
2000Q1,Cavan,43
2000Q1,Donegal,288
2000Q1,Monaghan,24
2000Q2,All Counties,10757
2000Q2,Carlow,50
2000Q2,Dublin,2448
2000Q2,Kildare,706
2000Q2,Kilkenny,176
2000Q2,Laois,203
2000Q2,Longford,3
2000Q2,Louth,307
2000Q2,Meath,828
2000Q2,Offaly,250
2000Q2,Westmeath,327
2000Q2,Wexford,547
2000Q2,Wicklow,196
2000Q2,Clare,290
2000Q2,Cork,1506
2000Q2,Kerry,298
2000Q2,Limerick,448
2000Q2,Tipperary,255
2000Q2,Waterford,366
2000Q2,Galway,538
2000Q2,Leitrim,59
2000Q2,Mayo,326
2000Q2,Roscommon,54
2000Q2,Sligo,145
2000Q2,Cavan,108
2000Q2,Donegal,283
2000Q2,Monaghan,40
2000Q3,All Counties,7937
2000Q3,Carlow,106
2000Q3,Dublin,1655
2000Q3,Kildare,519
2000Q3,Kilkenny,123
2000Q3,Laois,262
2000Q3,Longford,40
2000Q3,Louth,508
2000Q3,Meath,839
2000Q3,Offaly,106
2000Q3,Westmeath,135
2000Q3,Wexford,335
2000Q3,Wicklow,361
2000Q3,Clare,253
2000Q3,Cork,753
2000Q3,Kerry,136
2000Q3,Limerick,254
2000Q3,Tipperary,272
2000Q3,Waterford,263
2000Q3,Galway,326
2000Q3,Leitrim,47
2000Q3,Mayo,170
2000Q3,Roscommon,72
2000Q3,Sligo,78
2000Q3,Cavan,39
2000Q3,Donegal,172
2000Q3,Monaghan,113
2000Q4,All Counties,6425
2000Q4,Carlow,86
2000Q4,Dublin,1346
2000Q4,Kildare,381
2000Q4,Kilkenny,91
2000Q4,Laois,279
2000Q4,Longford,58
2000Q4,Louth,269
2000Q4,Meath,408
2000Q4,Offaly,160
2000Q4,Westmeath,198
2000Q4,Wexford,410
2000Q4,Wicklow,74
2000Q4,Clare,105
2000Q4,Cork,1039
2000Q4,Kerry,113
2000Q4,Limerick,242
2000Q4,Tipperary,154
2000Q4,Waterford,130
2000Q4,Galway,274
2000Q4,Leitrim,89
2000Q4,Mayo,164
2000Q4,Roscommon,78
2000Q4,Sligo,62
2000Q4,Cavan,80
2000Q4,Donegal,107
2000Q4,Monaghan,28
2001Q1,All Counties,7803
2001Q1,Carlow,169
2001Q1,Dublin,1982
2001Q1,Kildare,503
2001Q1,Kilkenny,164
2001Q1,Laois,90
