Code,Electoral_Divisions,COUNTY,Bungalow_2011,Flat_Apartment_2011
1830,022 Portmagee,Kerry,147,1
1831,023 Toghroinn Fhíonáin,Kerry,57,0
1832,024 Teeranearagh,Kerry,112,0
1833,025 Valencia,Kerry,250,1
1834,026 Ballinvoher,Kerry,202,1
1835,027 An Baile Dubh,Kerry,45,0
1836,028 Ballynacourty,Kerry,113,2
1837,029 Cé Bhréanainn,Kerry,67,0
1838,030 Castlegregory,Kerry,360,8
1839,031 An Clochán,Kerry,95,2
1840,032 Deelis,Kerry,130,0
1841,033 An Daingean,Kerry,481,73
1842,034 Dún Chaoin,Kerry,63,2
1843,035 Dún Urlann,Kerry,172,0
1844,036 Na Gleannta,Kerry,590,6
1845,037 Inch,Kerry,54,1
1846,038 Cill Maoilchéadair,Kerry,183,2
1847,039 Cill Chuáin,Kerry,175,2
1848,040 Cinn Aird,Kerry,128,2
1849,041 Lack,Kerry,107,0
1850,042 Márthain,Kerry,93,3
1851,043 An Mhin Aird,Kerry,132,1
1852,044 An Sráidbhaile,Kerry,78,1
1853,045 Ceann Trá,Kerry,160,3
1854,046 Ardea,Kerry,83,0
1855,047 Banawn,Kerry,82,0
1856,048 Cappagh,Kerry,136,0
1857,049 Castlecove,Kerry,125,2
1858,050 Dawros,Kerry,197,0
1859,051 Dromore,Kerry,103,2
1860,052 Glanlee,Kerry,66,0
1861,053 Glanlough,Kerry,57,0
1862,054 Glanmore,Kerry,96,0
1863,055 Greenane,Kerry,84,2
1864,056 Kenmare,Kerry,991,67
1865,057 Kilgarvan,Kerry,255,4
1866,058 Loughbrin,Kerry,56,0
1867,059 Reen,Kerry,50,0
1868,060 Sneem,Kerry,213,11
1869,061 Tahilla,Kerry,82,0
1870,062 Aghadoe,Kerry,258,16
1871,063 Aglish,Kerry,143,0
1872,064 Ballyhar,Kerry,66,1
1873,065 Brewsterfield,Kerry,256,2
1874,066 Caragh,Kerry,320,1
1875,067 Churchtown,Kerry,162,2
1876,068 Clydagh,Kerry,50,0
1877,069 Coolies,Kerry,244,14
1878,070 Coom,Kerry,675,5
1879,071 Curraghmore,Kerry,121,1
1880,072 Currans,Kerry,99,0
1881,073 Doocarrig,Kerry,205,0
1882,074 Dromin,Kerry,254,0
1883,075 Dunloe,Kerry,277,3
1884,076 Flesk,Kerry,133,1
1885,077 Headfort,Kerry,233,6
1886,078 Kilbonane,Kerry,195,1
1887,079 Kilcummin,Kerry,655,2
1888,080 Kilfelim,Kerry,84,0
1889,081 Kilgobnet,Kerry,272,0
1890,082 Killarney Rural,Kerry,2006,46
1891,083 Killeentierna,Kerry,312,4
1892,084 Killorglin,Kerry,1489,89
1893,085 Kilnanare,Kerry,351,1
1894,086 Knocknahoe,Kerry,102,1
1895,087 Lahard,Kerry,224,1
1896,088 Milltown,Kerry,712,8
1897,089 Molahiffe,Kerry,549,1
1898,090 Muckross,Kerry,204,2
1899,091 Rathmore,Kerry,647,3
1900,092 Rockfield,Kerry,133,1
1901,093 Ardagh,Kerry,245,0
1902,094 Astee,Kerry,186,1
1903,095 Ballincloher,Kerry,157,0
1904,096 Ballyconry,Kerry,154,1
1905,097 Ballyduff,Kerry,318,2
1906,098 Ballyegan,Kerry,37,0
1907,099 Ballyhorgan,Kerry,154,0
1908,100 Beal,Kerry,57,0
1909,101 Carrig,Kerry,153,2
1910,102 Causeway,Kerry,229,1
1911,103 Cloontubbrid,Kerry,107,0
1912,104 Drommartin,Kerry,180,0
1913,105 Duagh,Kerry,188,0
1914,106 Ennismore,Kerry,209,0
1915,107 Gullane,Kerry,98,0
1916,108 Gunsborough,Kerry,135,0
1917,109 Kilfeighny,Kerry,328,2
1918,110 Killehenny,Kerry,705,42
1919,111 Killury,Kerry,182,0
1920,112 Kilmeany,Kerry,263,1
1921,113 Kilshenane,Kerry,90,0
1922,114 Kiltomy,Kerry,156,1
1923,115 Leitrim,Kerry,183,1
1924,116 Lislaughtin,Kerry,237,2
